,ID,Type,Language_1,Lexeme_1,Meaning_1,Direction,Language_2,Lexeme_2,Meaning_2
506,shift0013, Polysemy,Telugu,ennu,count,→,Telugu,ennu,"think, esteem"
507,shift0013, Polysemy,Turkish,saymak,"to calculate, count",→,Turkish,saymak,to have opinion
508,shift0013, Polysemy,Turkmen,са:й-,"to count, to calculate",→,Turkmen,са:й-,to regard as
509,shift0013, Polysemy,Tuvan,сана-,"to count, to calculate",—,Tuvan,сана-,"to think, to estimate, to admit"
510,shift0013, Polysemy,Udmurt,лыдъялляны,"to calculate, count",→,Udmurt,лыдъялляны,"to have opinion, consider"
511,shift0013, Polysemy,Yakut,аах,"to calculate, count",—,Yakut,аах,to have opinion
512,shift0013, Polysemy,Yoruba,kà,count,→,Yoruba,kà,regard as
513,shift0013, Polysemy,Zulu,ɓala,"count, calvulate",→,Zulu,ɓala,"take into account, analyze"
570,shift0014, Polysemy,Avar,b=osize,"to grasp, seize",—,Avar,b=osize,"to get, obtain"
571,shift0014, Polysemy,Bashkir,ал- (al-),"to grasp, seize",—,Bashkir,ал- (al-),"to get, obtain"
572,shift0014, Polysemy,Bezhta,jokčal,"to grasp, seize",—,Bezhta,jokčal,"to get, obtain"
573,shift0014, Polysemy,Kabardian,q'jeʔǝxǝn,"to grasp, seize",—,Kabardian,q'jeʔǝxǝn,"to get, obtain"
574,shift0014, Polysemy,Karakalpak,ал-,"to grasp, seize",—,Karakalpak,ал-,"to get, obtain"
575,shift0014, Polysemy,Korean,patta,"to grasp, seize",—,Korean,patta,"to get, obtain"
576,shift0014, Polysemy,Kurmanji Kurdish,standin,"to grasp, seize",—,Kurmanji Kurdish,standin,"to get, obtain"
577,shift0014, Polysemy,Kyrghyz,ал-,"to grasp, seize",—,Kyrghyz,ал-,"to get, obtain"
578,shift0014, Polysemy,Lezgian,qːačun,"to grasp, seize",—,Lezgian,qːačun,"to get, obtain"
579,shift0014, Polysemy,Tatar,ал- (al-),"to grasp, seize",—,Tatar,ал- (al-),"to get, obtain"
590,shift0015, Polysemy,Gagauz,takä,cap,→,Gagauz,takä,ninny
591,shift0015, Polysemy,Russian,шляпа (šljapa),hat,→,Russian,шляпа (šljapa),ninny
594,shift0016, Polysemy,Ancient Greek,γλυκύς,sweet,—,Ancient Greek,γλυκύς," of persons, sweet, dear"
595,shift0016, Polysemy,Ancient Greek,ἡδύς,sweet,→,Ancient Greek,ἡδύς,"dear, darling"
596,shift0016, Polysemy,Croatian,sladak,sweet (taste),→,Croatian,sladak,"dear, darling"
597,shift0016, Polysemy,English,sweet,sweet (taste),→,English,sweet,"synonym of sweetheart, a term of affection"
598,shift0016, Polysemy,Gagauz,татлы (tatlı),sweet,—,Gagauz,татлы (tatlı),darling
599,shift0016, Polysemy,Hungarian,édes,sweet,→,Hungarian,édes,"dear, darling"
600,shift0016, Semantic evolution,Irish Gaelic,milis,sweet (taste),→,Irish Gaelic,milis,"dear, darling"
601,shift0016, Polysemy,Karaim,ширин,sweet,—,Karaim,ширин,"sweet, nice"
602,shift0016, Polysemy,Latin,dulcis,sweet,—,Latin,dulcis,"tender, nice"
603,shift0016, Polysemy,Lezgian,ширин (širin),sweet,—,Lezgian,ширин (širin),"dear, respected"
604,shift0016, Polysemy,Romanian,dulce,sweet (taste),→,Romanian,dulce,"dear, darling"
605,shift0016, Polysemy,Serbian,сладак (sladak),sweet (taste),→,Serbian,сладак (sladak),"dear, darling"
606,shift0016, Polysemy,Somali,macaan(-ta),sweet (n.),—,Somali,macaan(-ta),"dear, darling (about woman)"
607,shift0016, Polysemy,Turkish,şirin,sweet (taste),→,Turkish,şirin,"dear, darling, lovely"
608,shift0016, Derivation,Yuwaalaraay,guwiirr,sweet (taste),→,Yuwaalaraay,guwiirra,sweetheart
624,shift0017, Polysemy,Gagauz,tuzlu,salty,→,Gagauz,tuzlu,"pungent, incisive"
625,shift0017, Polysemy,Russian,солёный (solёnyj),salty,→,Russian,солёный (solёnyj),obscene
628,shift0018, Polysemy,Albanian,dëgjoj,to hear / to listen,→,Albanian,dëgjoj,to understand
629,shift0018, Polysemy,Alutor,valum-,to hear,→,Alutor,valum-,to understand
630,shift0018, Polysemy,Amharic,sämma,to hear,→,Amharic,sämma,to understand
631,shift0018, Polysemy,Arabela,tohiniu,to hear / to listen,→,Arabela,tohiniu,to understand
632,shift0018, Polysemy,Aranda,awe ,to hear / to listen,→,Aranda,awe ,to understand
633,shift0018, Polysemy,Avestan,uš-,hearing,NA,Avestan,uš-,"undestanding, intelligence"
634,shift0018, Polysemy,Bandjalangic,gannga-,to hear / to listen,→,Bandjalangic,gannga-,to understand
635,shift0018, Polysemy,Batsbi,jeplar,to hear / to listen,→,Batsbi,jeplar,to understand
636,shift0018, Polysemy,Batsbi,xac̣ar,to hear,→,Batsbi,xac̣ar,to understand
637,shift0018, Polysemy,Chukchee,валёмык,to hear,→,Chukchee,валёмык,to understand
638,shift0018, Polysemy,Dinka,piŋ,to hear,→,Dinka,piŋ,to understand
639,shift0018, Polysemy,Doromu-Koki,yora,listening,→,Doromu-Koki,yora,undertanding
640,shift0018, Polysemy,Even,долдъ-,to hear,NA,Even,долдъ-,to understand
641,shift0018, Cognates,French,entendre,to hear,—,Spanish,entender,"to understand, to be knowledgeable"
642,shift0018, Polysemy,French,entendre ,to hear,→,French,entendre ,to understand
643,shift0018, Derivation,Gamilaraay,winanga-li,to hear / to listen,→,Gamilaraay,winanga-y,to understand
644,shift0018, Polysemy,Gbaya,ze -a,to hear / to listen,→,Gbaya,ze -a,to understand
645,shift0018, Polysemy,Guahibo (Sikuaani),jumetane,to hear / to listen,→,Guahibo (Sikuaani),jumetane,to understand
646,shift0018, Polysemy,Hawu (Sabu),rəŋi,to hear,→,Hawu (Sabu),rəŋi,to understand
647,shift0018, Polysemy,Hungarian,hall,to hear / to listen,→,Hungarian,hall,to understand
648,shift0018, Polysemy,Itelmen,элфсэс,to listen,—,Itelmen,элфсэс,to understand
649,shift0018, Polysemy,Kawaiisu,naɣa-,to hear,→,Kawaiisu,naɣa-,to understand
650,shift0018, Polysemy,Kayardild,marrija ,to hear / to listen,→,Kayardild,marrija ,to understand
651,shift0018, Polysemy,Khmer,sdap (ស្ដាប់),to listen,→,Khmer,sdap (ស្ដាប់),to understand (spoken language)
652,shift0018, Polysemy,Khoekhoe,ǁnâu,to hear / to listen,→,Khoekhoe,ǁnâu,to understand
653,shift0018, Polysemy,Koasati,há:lon,to hear / to listen,→,Koasati,há:lon,to understand
654,shift0018, Derivation,Kora,ǁnãu,to hear / to listen,→,Kora,ǁnãuǃ’ā,to understand
655,shift0018, Polysemy,Koreguaje,asamʉ,to hear / to listen,→,Koreguaje,asamʉ,to understand
656,shift0018, Polysemy,Koryak,валомык,to listen,—,Koryak,валомык,to understand
657,shift0018, Polysemy,Kukatja,kulila ,to hear / to listen,→,Kukatja,kulila ,to understand
658,shift0018, Polysemy,Kunwinjku,bekkan ,to hear / to listen,→,Kunwinjku,bekkan ,to understand (a language)
659,shift0018, Polysemy,Luiseño,náqma,to hear / to listen,→,Luiseño,náqma,to understand
660,shift0018, Polysemy,Matsés (Mayoruna),tantia,to hear / to listen,→,Matsés (Mayoruna),tantia,to understand
661,shift0018, Polysemy,Nez Perce (Nimipuutímt),micí,to hear / to listen,→,Nez Perce (Nimipuutímt),micí,to understand
662,shift0018, Polysemy,Ngalakgan,banarr- ,to hear / to listen,→,Ngalakgan,banarr- ,to understand
663,shift0018, Polysemy,Ngalkbun,wonan ,to hear / to listen,→,Ngalkbun,wonan ,to understand
664,shift0018, Polysemy,Nganasan,дильситiси,to listen,—,Nganasan,дильситiси,to understand
665,shift0018, Polysemy,Palana,valom-,to hear / to listen,→,Palana,valom-,to understand
666,shift0018, Polysemy,Palenquero,kuchá ,to hear / to listen,→,Palenquero,kuchá ,to understand
667,shift0018, Polysemy,Pintupi-Luritja,kulinu ,to hear,→,Pintupi-Luritja,kulinu ,to understand
668,shift0018, Polysemy,Pitjantjatjara,kulini ,to hear / to listen,→,Pitjantjatjara,kulini ,to understand
669,shift0018, Polysemy,Russian,slyšat',to hear,—,Russian,slyšat',to hear
670,shift0018, Polysemy,So (Uganda),ɓuɓ,to hear,→,So (Uganda),ɓuɓ,to understand
671,shift0018, Polysemy,Sursurunga,tárma-i,to listen to,→,Sursurunga,tárma-i,to understand
672,shift0018, Polysemy,Swahili,sikia,to hear,→,Swahili,sikia,to understand
673,shift0018, Polysemy,Telefol,tinágkam-in,to hear,→,Telefol,tinágkam-in,to understand
674,shift0018, Polysemy,Tem (Kotokoli),nɩɩ́,to hear / to listen,→,Tem (Kotokoli),nɩɩ́,to understand
675,shift0018, Polysemy,Thao,t<un>maza,"to hear, listen",→,Thao,t<un>maza,to understand (a language)
676,shift0018, Polysemy,Tibetan,khums-pa,"to hear, to listen",NA,Tibetan,khums-pa,"to know, to understand"
677,shift0018, Polysemy,Tundra Yukaghir,мөри-,to hear,—,Tundra Yukaghir,мөри-,to understand (language)
678,shift0018, Polysemy,Tundra Yukaghir,мөри-,to hear / to listen,→,Tundra Yukaghir,мөри-,to understand
679,shift0018, Polysemy,Udmurt,анланы,to hear / to listen,—,Udmurt,анланы,to understand
680,shift0018, Polysemy,Wagaya,larr-,to hear,→,Wagaya,larr-,to understand
681,shift0018, Polysemy,Warlpiri,purda-nyanyi ,to hear / to listen,→,Warlpiri,purda-nyanyi ,to understand
682,shift0018, Polysemy,Warluwara,rlari-,to hear / to listen,→,Warluwara,rlari-,to understand
683,shift0018, Polysemy,Wik-Mungkan,ngeeyan ,to hear / to listen,→,Wik-Mungkan,ngeeyan ,to understand
684,shift0018, Polysemy,Wubuy (Nunggubuyu),wawangki-,to hear / to listen,→,Wubuy (Nunggubuyu),wawangki-,to understand
685,shift0018, Polysemy,Yakut,isit-,to hear,NA,Yakut,isit-,"to understand, to comprehend"
686,shift0018, Polysemy,Yakut,иһит,to hear / to listen,→,Yakut,иһит,to understand (a language)
687,shift0018, Polysemy,Yaqui (Hiaki),hikka,"to hear, listen",→,Yaqui (Hiaki),hikka,to understand
688,shift0018, Polysemy,Yawuru,langka-,to hear,→,Yawuru,langka-,to understand
689,shift0018, Polysemy,Yegha,ningári,to hear / to listen to,→,Yegha,ningári,to understand
690,shift0018, Polysemy,Yupik,niiqur ,to hear,→,Yupik,niiqur ,to understand
691,shift0018, Derivation,Yuwaalaraay,winanga-li,to hear / to listen,→,Yuwaalaraay,winanga-y,to understand
692,shift0018, Derivation,Yuwaalayaay,winanga-li,to hear / to listen,→,Yuwaalayaay,winanga-y,to understand
758,shift0019, Polysemy,Danish,minde,to remind,→,Danish,minde,to be alike
759,shift0019, Polysemy,English,remind,to remind,NA,English,remind,
760,shift0019, Polysemy,Hungarian,emlékeztet,to remind,→,Hungarian,emlékeztet,to be alike
761,shift0019, Polysemy,Icelandic,minna,to remind,→,Icelandic,minna,to be alike
762,shift0019, Polysemy,Norwegian,minne,to remind,→,Norwegian,minne,to be alike
763,shift0019, Polysemy,Russian,napominat',to remind,NA,Russian,napominat',to remind
764,shift0019, Derivation,Serbian,сетити (setiti),to remind,→,Serbian,подсетити (podsetiti),"to resemble, be alike"
765,shift0019, Polysemy,Turkish,andır-,to remind,NA,Turkish,andır-,to resemble smn
774,shift0020, Polysemy,Gagauz,tut-,"to hold, to trash, to restrain",—,Gagauz,tut-,to last
775,shift0020, Polysemy,Hungarian,tart,to hold (in hands),—,Hungarian,tart,to last
778,shift0021, Polysemy,Gagauz,tutuş-,"to catch fire, to ignite",—,Gagauz,tutuş-,"to quarrel, to fight"
779,shift0021, Polysemy,Tabassaran,каб(р)хьуб (kab(r)xub),"to catch fire, light up",—,Tabassaran,каб(р)хьуб (kab(r)xub),"to fight, to beat each other (fig.)"
782,shift0022, Derivation,Ancient Hebrew,bāˀ,"to come, to enter",→,Ancient Hebrew,təḇūˀā ,"produce, yield (what comes in); harvest (also in the snese of profit)"
783,shift0022, Polysemy,Avar,бачIине (bač'ine),to come,—,Avar,бачIине (bač'ine),"to get, obtain"
784,shift0022, Polysemy,Chamalal,бӣла (biːla),to come,—,Chamalal,бӣла (biːla),"to get, obtain"
785,shift0022, Derivation,Classical Arabic,ˀty,to come,→,Classical Arabic,"ˀatāˀ-, ˀitāˀ- ","increase, produce, revenue; produce of land and fruits"
786,shift0022, Derivation,English,to come,to come,→,English,income,"gainings, earnings"
787,shift0022, Derivation,German,kommen,to come,→,German,bekommen,"to get, obtain"
788,shift0022, Derivation,Latin,venio,to come,→,Latin,proventus,"growth, increase; yield, crop; result, outcome"
789,shift0022, Polysemy,Lezgian,атун (atun),to come,—,Lezgian,атун (atun),"to get,  obtain"
790,shift0022, Derivation,Russian,приходить,to come,→,Russian,приход,"(accounting) receipt, credit, income"
800,shift0023, Polysemy,Karakalpak,ал- (al-),"to take; to get, to obtain",—,Karakalpak,ал- (al-),to be able
801,shift0023, Polysemy,Kyrghyz,ал- (al-),"to take, to get, to obtain, to buy, to purchase",—,Kyrghyz,ал- (al-),to be able
802,shift0023, Polysemy,Vietnamese,được,"to acquire, to get, to obtain, to receive",—,Vietnamese,được,"to can, to be able (""in combination with the verb stems, denotes the ability or suitability of an object to the intended action"")"
806,shift0024, Polysemy,Kabardian,къыIэрыхьэн (qǝʔerǝhen),"to take, to get",—,Kabardian,къыIэрыхьэн (qǝʔerǝhen),"to come out, to succeed"
807,shift0024, Derivation,Russian,получать (polučat'),"to receive, to get, to be given",—,Russian,получаться (polučat'sja),to be a success
810,shift0025, Polysemy,Lezgian,агакьун (agaq’un),to reach,—,Lezgian,агакьун (agaq’un),"to get, obtain"
811,shift0025, Polysemy,Polish,dostac,to reach,—,Polish,dostac,"to get, obtain"
812,shift0025, Polysemy,Tamil,eytu,"to reach, as a place;",→,Tamil,eytu,"to obtain, acquire, attain; "
813,shift0025, Polysemy,Tamil,cēr,"to reach, gain, arrive at",—,Tamil,cēr,"to obtain, acquire"
814,shift0025, Polysemy,Telugu,andu,"to reach, get at.",—,Telugu,andu,to obtain or gain
820,shift0026, Polysemy,Adyghe,гъотын,to find,—,Adyghe,гъотын,"to get, obtain"
821,shift0026, Polysemy,Amharic,agäññä,"to find, to discover, come across",→,Amharic,agäññä,"to acquire, to procure, obtain, get"
822,shift0026, Polysemy,Bezhta,jĩqal,to find,—,Bezhta,jĩqal,"to get, obtain"
823,shift0026, Polysemy,Even,бақ-,to find,—,Even,бақ-,"to get, obtain"
824,shift0026, Polysemy,Manchu,баҳа-,to find,—,Manchu,баҳа-,"to get, obtain"
825,shift0026, Polysemy,Nanai,бā-,to find,—,Nanai,бā-,"to get, obtain"
826,shift0026, Polysemy,Negidal,баха-,to find,—,Negidal,баха-,to get
827,shift0026, Polysemy,Orok,"бā-, баққа-",to find,—,Orok,"бā-, баққа-","to get, obtain"
828,shift0026, Polysemy,Solon,баха-,to find,—,Solon,баха-,"to get, obtain"
829,shift0026, Polysemy,Tigrinya,räk̲äbä,"‘to find, discover, strike (gold)’",→,Tigrinya,räk̲äbä,"‘to obtain, acquire, procure, gain, get’"
830,shift0026, Polysemy,Udihe,б'а-,to find,—,Udihe,б'а-,"to get, obtain"
831,shift0026, Polysemy,Ulchi,"бā-, бақа-",to find,—,Ulchi,"бā-, бақа-","to get, obtain"
844,shift0027, Polysemy,English,receive,"to get, obtain",—,English,receive,to contain
845,shift0027, Polysemy,French,recevoir,"to get, obtain",→,French,recevoir,to contain
846,shift0027, Polysemy,Italian,ricevere,"to get, obtain",—,Italian,ricevere,to contain
847,shift0027, Polysemy,Spanish,recibir,to get,→,Spanish,recibir,"to hold, to accept"
852,shift0028, Polysemy,English,receive,,NA,English,receive,
853,shift0028, Polysemy,French,recevoir,"to get, obtain",—,French,recevoir,to receive visitors
854,shift0028, Polysemy,Italian,ricevere,,NA,Italian,ricevere,
855,shift0028, Polysemy,Russian,prinimat',to accept,NA,Russian,prinimat',to receive
856,shift0028, Polysemy,Spanish,recibir,"to take, to get",→,Spanish,recibir,"to receive (guests, visitors)"
862,shift0029, Polysemy,Czech,dostat,"to get, obtain",—,Czech,dostat,to become infected
863,shift0029, Polysemy,Danish,faa,"to get, obtain",—,Danish,faa,to become infected
864,shift0029, Polysemy,English,catch,"to grasp, seize",→,English,catch,to become infected
865,shift0029, Polysemy,French,attraper,"to get, obtain",→,French,attraper,to become infected
866,shift0029, Polysemy,Gagauz,kap-,"to grasp, seize",→,Gagauz,kap-,to catch (a disease)
867,shift0029, Polysemy,Hungarian,kap,"to get, obtain",→,Hungarian,kap,to become infected
868,shift0029, Polysemy,Icelandic,fá,"to get, obtain",→,Icelandic,fá,to become infected
869,shift0029, Polysemy,Italian,prendere,"to take, to hold, to get",→,Italian,prendere,to become infected
870,shift0029, Polysemy,Kildin Saami,тāбхэ,"to get, obtain",→,Kildin Saami,тāбхэ,to become infected
871,shift0029, Polysemy,Kildin Saami,соагкэ,to catch,→,Kildin Saami,соагкэ,to catch (a disease)
872,shift0029, Polysemy,Norwegian,få,"to get, obtain",→,Norwegian,få,to become infected
873,shift0029, Polysemy,Polish,dostac,"to get, obtain",—,Polish,dostac,to become infected
874,shift0029, Polysemy,Russian,схватить (shvatit'),"to seize, to grasp",→,Russian,схватить (shvatit'),to catch (a disease)
875,shift0029, Polysemy,Spanish,coger,"to take, to catch, to hold, to get",→,Spanish,coger,to become infected
876,shift0029, Polysemy,Swedish,få,"to get, obtain",→,Swedish,få,to become infected
877,shift0029, Polysemy,Tamil,tottu,to be obtained (intr.),—,Tamil,tottu,"to catch, as a disease; to infect (tr.)"
878,shift0029, Polysemy,Thai,jâp,"to (under)take, to grasp",→,Thai,"to (under)take, to grasp",to fall sick
879,shift0029, Polysemy,Udmurt,кутыны,"to get, obtain",→,Udmurt,кутыны,to become infected
898,shift0030, Polysemy,Danish,få,"to get, obtain",—,Danish,få,must
899,shift0030, Polysemy,Norwegian,få,to receive,→,Norwegian,få,must
